# Species	Genes	Alg.-Conn.	BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR.proteins.faa	LILAC_Borg_RifSed_csp1_19ft_2_complete.proteins.faa	PURPLE_Borg_SRVP18_trench_6_60cm_32_41_complete.proteins.faa	RifSed_csp2_16ft_3_Methanoperedens_45_12.proteins.faa	SKY_Borg_SRVP18_hole-7m-from-trench_1_80cm_complete.proteins.faa	SR-VP_0-2cm_Methanoperedens_41_45.proteins.faa	SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19.proteins.faa	SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46.proteins.faa	SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10.proteins.faa	SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15.proteins.faa	SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31.proteins.faa	SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37.proteins.faa	SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82.proteins.faa	SRVP18_trench_6_60cm_Methanoperedens_43_12.proteins.faa
14	16	0.219	BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR_1098|BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR|SR-VP_26_10_2019_C_40cm	LILAC_RifSed_csp1_19ft_2_test_LILAC_rev17_terminal_repeats-final_779|LILAC_Borg_RifSed_csp1_19ft_2_complete|RifSed_csp1_19ft_2	SRVP18_trench_6_60cm_scaf_214_117_86_FINAL_1212|PURPLE_Borg_SRVP18_trench_6_60cm_32_41_complete|SRVP18_trench_6_60cm	RifSed_csp2_16ft_3_scaffold_2334_18|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	SRVP18_hole-7m-from-trench_1_80cm_scaf_35_ext_315-rev_6-w_terminal_repeats_896|SKY_Borg_SRVP18_hole-7m-from-trench_1_80cm_complete|SRVP18_hole-7m-from-trench_1_80cm	SR-VP_0-2_scaffold_141_5181056_11|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_143_7|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_42621_2|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_2765_10|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_53_6|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_166_282|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_23928_2|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm,SRVP18_hole-7m-from-trench_1_80cm_scaffold_1071_5|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_1884_11|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_39897_7|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm,SRVP18_trench_6_60cm_scaffold_5160_5|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
9	10	0.582	*	*	*	RifSed_csp2_16ft_3_scaffold_977_55|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	*	*	SR-VP_26_10_2019_1_100cm_scaffold_26_48|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_1204_7|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm,SR-VP_26_10_2019_2_100cm_scaffold_8018_2|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_9733_8|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_414_56|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_16_97|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_6433_7|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_5830_1|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_14312_7|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
9	10	0.572	*	*	*	RifSed_csp2_16ft_3_scaffold_3623_5|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	*	SR-VP_0-2_scaffold_141_6737744_20|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_528_14|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	*	SR-VP_26_10_2019_C_40cm_scaffold_1756_8|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_513_40|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_42_37|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_1113_2|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm,SRVP18_hole-7m-from-trench_1_80cm_scaffold_14295_4|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_11782_1|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_5763_2|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
9	10	0.57	*	*	*	RifSed_csp2_16ft_3_scaffold_1440_22|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	*	SR-VP_0-2_scaffold_141_4936973_3|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_817_62|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_2107_7|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm,SR-VP_26_10_2019_2_100cm_scaffold_13847_2|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	*	SR-VP_26_10_2019_C_40cm_scaffold_63_40|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_5_61|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_149654_2|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_2054_12|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_2391_1|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
9	10	0.559	*	*	*	*	*	SR-VP_0-2_scaffold_141_3200989_13|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_80_170|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_11006_6|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_7505_9|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_345_110|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_175_29|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_763_5|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm,SRVP18_hole-7m-from-trench_1_80cm_scaffold_24989_1|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_11632_5|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_5091_5|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
9	10	0.559	*	*	*	RifSed_csp2_16ft_3_scaffold_977_56|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	*	*	SR-VP_26_10_2019_1_100cm_scaffold_26_50|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_1204_5|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm,SR-VP_26_10_2019_2_100cm_scaffold_8018_3|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_9733_6|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_414_55|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_16_96|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_6433_5|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_5830_2|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_14312_5|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
9	10	0.53	*	*	*	RifSed_csp2_16ft_3_scaffold_4305_35|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	*	SR-VP_0-2_scaffold_141_84117_4|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_799_5|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_1321_24|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_4268_7|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_1043_30|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_504_14|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_3532_3|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	*	SRVP18_trench_6_60cm_scaffold_11049_4|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm,SRVP18_trench_6_60cm_scaffold_2937_7|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
9	10	0.528	*	*	*	RifSed_csp2_16ft_3_scaffold_2696_24|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	*	*	SR-VP_26_10_2019_1_100cm_scaffold_148_77|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_4865_7|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_1439_20|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_63_219|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_1319_42|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_1181_5|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm,SRVP18_hole-7m-from-trench_1_80cm_scaffold_5918_5|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_55421_2|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_9831_5|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
9	10	0.508	*	*	*	RifSed_csp2_16ft_3_scaffold_3176_14|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	*	SR-VP_0-2_scaffold_141_469889_38|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_1549_19|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_7664_1|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_5261_4|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_294_84|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_190_12|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_1944_22|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm,SRVP18_hole-7m-from-trench_1_80cm_scaffold_2562_12|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	*	SRVP18_trench_6_60cm_scaffold_4193_11|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
9	10	0.49	*	*	*	RifSed_csp2_16ft_3_scaffold_6403_11|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	*	SR-VP_0-2_scaffold_141_3072101_17|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_327_6|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_16959_3|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_3148_15|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm,SR-VP_26_10_2019_C_40cm_scaffold_2664_15|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	*	SRVP18_hole-7m-from-trench_1_20cm_scaffold_56_83|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_1334_10|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_16984_5|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_2420_7|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
9	10	0.488	*	*	*	RifSed_csp2_16ft_3_scaffold_1440_19|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	*	*	SR-VP_26_10_2019_1_100cm_scaffold_817_65|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_2107_3|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm,SR-VP_26_10_2019_2_100cm_scaffold_3168_2|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_3006_4|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_63_37|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_5_64|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_1602_46|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_2054_8|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_4319_16|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
9	10	0.471	*	*	*	*	*	SR-VP_0-2_scaffold_141_8023102_8|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_95_157|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_6971_9|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_6495_11|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_445_3|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_56_3|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_4820_12|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_2831_12|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_14170_3|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm,SRVP18_trench_6_60cm_scaffold_11205_2|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
9	10	0.44	*	*	*	RifSed_csp2_16ft_3_scaffold_1343_32|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	*	SR-VP_0-2_scaffold_141_3777480_8|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515,SR-VP_0-2_scaffold_141_6737744_42|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_148_131|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	*	SR-VP_26_10_2019_C_40cm_scaffold_5055_2|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_414_41|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_16_82|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_5913_9|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_4104_6|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_12142_5|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
9	10	0.436	*	*	SRVP18_trench_6_60cm_scaf_214_117_86_FINAL_783|PURPLE_Borg_SRVP18_trench_6_60cm_32_41_complete|SRVP18_trench_6_60cm	*	*	SR-VP_0-2_scaffold_141_3072101_14|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_327_9|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_10790_3|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_2664_12|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm,SR-VP_26_10_2019_C_40cm_scaffold_3148_17|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	*	SRVP18_hole-7m-from-trench_1_20cm_scaffold_56_85|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_2832_2|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_16984_12|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_4084_2|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
9	10	0.43	*	LILAC_RifSed_csp1_19ft_2_test_LILAC_rev17_terminal_repeats-final_362|LILAC_Borg_RifSed_csp1_19ft_2_complete|RifSed_csp1_19ft_2	*	RifSed_csp2_16ft_3_scaffold_4540_17|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	*	SR-VP_0-2_scaffold_141_3307223_2|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515,SR-VP_0-2_scaffold_141_2589646_10|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_544_20|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	*	SR-VP_26_10_2019_C_40cm_scaffold_1007_21|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_63_148|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_194_29|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_4255_7|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	*	SRVP18_trench_6_60cm_scaffold_11277_7|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
