Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Uncultured archaeon clone gwb2_scaffold_657 genomic sequence,uncultured archaeon,213,431,0%,2e-50,68.12,82055,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP308541.1?report=genbank&log$=nucltop&blast_rank=19&RID=8HKD5Z2Z013"",""KP308541.1"")"
"Uncultured archaeon clone 40H-0N-21 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,213,213,0%,2e-50,72.42,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713985.1?report=genbank&log$=nucltop&blast_rank=20&RID=8HKD5Z2Z013"",""EU713985.1"")"
"Uncultured archaeon clone 25H-0N-8 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,212,212,0%,2e-50,72.49,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713929.1?report=genbank&log$=nucltop&blast_rank=21&RID=8HKD5Z2Z013"",""EU713929.1"")"
"Uncultured archaeon clone 40H-0N-25 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,208,208,0%,3e-49,72.16,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713989.1?report=genbank&log$=nucltop&blast_rank=22&RID=8HKD5Z2Z013"",""EU713989.1"")"
"Uncultured archaeon clone 25H-0N-10 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,208,208,0%,3e-49,73.03,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713931.1?report=genbank&log$=nucltop&blast_rank=23&RID=8HKD5Z2Z013"",""EU713931.1"")"
"Uncultured archaeon clone 40H-0N-27 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,206,206,0%,9e-49,72.16,383,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713991.1?report=genbank&log$=nucltop&blast_rank=24&RID=8HKD5Z2Z013"",""EU713991.1"")"
"Uncultured archaeon clone 40H-0N-17 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,205,205,0%,3e-48,71.76,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713981.1?report=genbank&log$=nucltop&blast_rank=25&RID=8HKD5Z2Z013"",""EU713981.1"")"
"Uncultured archaeon clone 25H-0N-13 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,205,205,0%,3e-48,71.76,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713934.1?report=genbank&log$=nucltop&blast_rank=26&RID=8HKD5Z2Z013"",""EU713934.1"")"
Uncultured archaeon clone rifoxyc2_full_scaffold_606_curated,uncultured archaeon,204,507,0%,1e-47,69.11,52000,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY476722.1?report=genbank&log$=nucltop&blast_rank=27&RID=8HKD5Z2Z013"",""KY476722.1"")"
Uncultured archaeon clone rifoxya2_full_scaffold_182_curated,uncultured archaeon,204,500,0%,1e-47,69.11,58158,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY476719.1?report=genbank&log$=nucltop&blast_rank=28&RID=8HKD5Z2Z013"",""KY476719.1"")"
"Uncultured archaeon clone 40H-0N-28 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,204,204,0%,1e-47,71.91,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713992.1?report=genbank&log$=nucltop&blast_rank=29&RID=8HKD5Z2Z013"",""EU713992.1"")"
"Uncultured archaeon clone 40H-0N-19 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,201,201,0%,4e-47,71.50,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713983.1?report=genbank&log$=nucltop&blast_rank=30&RID=8HKD5Z2Z013"",""EU713983.1"")"
"Uncultured archaeon clone 25H-0N-6 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,200,200,0%,1e-46,71.83,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713927.1?report=genbank&log$=nucltop&blast_rank=31&RID=8HKD5Z2Z013"",""EU713927.1"")"
"Uncultured archaeon clone 40H-0N-13 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,199,199,0%,1e-46,71.65,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713977.1?report=genbank&log$=nucltop&blast_rank=32&RID=8HKD5Z2Z013"",""EU713977.1"")"
"Uncultured archaeon clone 40H-0N-16 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,196,196,0%,2e-45,71.24,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713980.1?report=genbank&log$=nucltop&blast_rank=33&RID=8HKD5Z2Z013"",""EU713980.1"")"
"Uncultured archaeon clone 40H-0N-14 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,195,195,0%,6e-45,71.39,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713978.1?report=genbank&log$=nucltop&blast_rank=34&RID=8HKD5Z2Z013"",""EU713978.1"")"
"Uncultured archaeon clone 40H-0N-10 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,195,195,0%,6e-45,71.32,380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713974.1?report=genbank&log$=nucltop&blast_rank=35&RID=8HKD5Z2Z013"",""EU713974.1"")"
"Uncultured archaeon clone 25H-0N-9 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,195,195,0%,6e-45,71.39,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713930.1?report=genbank&log$=nucltop&blast_rank=36&RID=8HKD5Z2Z013"",""EU713930.1"")"
"Uncultured archaeon clone 25H-0N-14 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,187,187,0%,9e-43,70.73,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713935.1?report=genbank&log$=nucltop&blast_rank=37&RID=8HKD5Z2Z013"",""EU713935.1"")"
Uncultured archaeon clone AR5_2 genomic sequence,uncultured archaeon,187,187,0%,9e-43,67.27,399153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP308749.1?report=genbank&log$=nucltop&blast_rank=38&RID=8HKD5Z2Z013"",""KP308749.1"")"
Uncultured archaeon clone gwa2_scaffold_210 genomic sequence,uncultured archaeon,187,256,0%,9e-43,63.57,90228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP308567.1?report=genbank&log$=nucltop&blast_rank=39&RID=8HKD5Z2Z013"",""KP308567.1"")"
"Uncultured archaeon clone 40H-0N-15 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,186,186,0%,3e-42,70.88,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713979.1?report=genbank&log$=nucltop&blast_rank=40&RID=8HKD5Z2Z013"",""EU713979.1"")"
Uncultured archaeon MedDCM-OCT-S05-C724 genomic sequence,uncultured archaeon MedDCM-OCT-S05-C724,182,182,0%,4e-41,75.29,12497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU942967.1?report=genbank&log$=nucltop&blast_rank=41&RID=8HKD5Z2Z013"",""GU942967.1"")"
"Uncultured archaeon clone 25H-0N-11 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,178,178,0%,4e-40,70.21,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713932.1?report=genbank&log$=nucltop&blast_rank=42&RID=8HKD5Z2Z013"",""EU713932.1"")"
"Uncultured archaeon clone 40H-0N-11 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,177,177,0%,2e-39,70.36,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713975.1?report=genbank&log$=nucltop&blast_rank=43&RID=8HKD5Z2Z013"",""EU713975.1"")"
"Uncultured archaeon nifH gene for dinitrogenase reductase, partial cds, clone: K8MV-C24nifH_25",uncultured archaeon,177,177,0%,2e-39,72.22,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB362400.1?report=genbank&log$=nucltop&blast_rank=44&RID=8HKD5Z2Z013"",""AB362400.1"")"
"Uncultured archaeon clone 25H-0N-12 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,169,169,0%,2e-37,69.69,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713933.1?report=genbank&log$=nucltop&blast_rank=45&RID=8HKD5Z2Z013"",""EU713933.1"")"
"Uncultured archaeon nifH gene for dinitrogenase reductase, partial cds, clone: K8MV-C28nifHex_01",uncultured archaeon,161,161,0%,3e-35,70.50,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB362410.1?report=genbank&log$=nucltop&blast_rank=46&RID=8HKD5Z2Z013"",""AB362410.1"")"
"Uncultured archaeon clone 40H-0N-23 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,160,160,0%,1e-34,69.17,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713987.1?report=genbank&log$=nucltop&blast_rank=47&RID=8HKD5Z2Z013"",""EU713987.1"")"
"Uncultured archaeon nifH gene for dinitrogenase reductase, partial cds, clone: K8MV-C28nifH_28",uncultured archaeon,160,160,0%,1e-34,70.88,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB362408.1?report=genbank&log$=nucltop&blast_rank=48&RID=8HKD5Z2Z013"",""AB362408.1"")"
"Uncultured archaeon nifH gene for dinitrogenase reductase, partial cds, clone: K8MV-C26nifH_27",uncultured archaeon,159,159,0%,1e-34,70.41,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB362402.1?report=genbank&log$=nucltop&blast_rank=49&RID=8HKD5Z2Z013"",""AB362402.1"")"
"Uncultured archaeon clone b110 nitrogenase (nifH) gene, partial cds",uncultured archaeon,152,152,0%,2e-32,74.36,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH385131.1?report=genbank&log$=nucltop&blast_rank=50&RID=8HKD5Z2Z013"",""MH385131.1"")"
"Uncultured archaeon nifH gene for dinitrogenase reductase, partial cds, clone: K8MV-C22nifH_01",uncultured archaeon,144,144,0%,9e-30,71.38,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB362396.1?report=genbank&log$=nucltop&blast_rank=51&RID=8HKD5Z2Z013"",""AB362396.1"")"
"Uncultured archaeon nifH gene for dinitrogenase reductase, partial cds, clone: K8MV-C26nifH_16",uncultured archaeon,141,141,0%,3e-29,70.52,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB362401.1?report=genbank&log$=nucltop&blast_rank=52&RID=8HKD5Z2Z013"",""AB362401.1"")"
"Uncultured archaeon nifH gene for dinitrogenase reductase, partial cds, clone: K8MV-C26nifHex_26",uncultured archaeon,137,137,0%,1e-27,69.21,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB362409.1?report=genbank&log$=nucltop&blast_rank=53&RID=8HKD5Z2Z013"",""AB362409.1"")"
"Uncultured archaeon nifH gene for dinitrogenase reductase, partial cds, clone: K8MV-C28nifH_27",uncultured archaeon,137,137,0%,1e-27,69.21,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB362407.1?report=genbank&log$=nucltop&blast_rank=54&RID=8HKD5Z2Z013"",""AB362407.1"")"
Uncultured archaeon clone gwa1_scaffold_1271 genomic sequence,uncultured archaeon,136,136,0%,1e-27,71.97,36233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP308627.1?report=genbank&log$=nucltop&blast_rank=55&RID=8HKD5Z2Z013"",""KP308627.1"")"
"Uncultured archaeon clone b721 nitrogenase (nifH) gene, partial cds",uncultured archaeon,131,131,0%,6e-26,72.69,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH385088.1?report=genbank&log$=nucltop&blast_rank=56&RID=8HKD5Z2Z013"",""MH385088.1"")"
Uncultured archaeon clone rifcsphigho2_01_scaffold_3522_curated,uncultured archaeon,123,123,0%,9e-24,68.73,184144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY476664.1?report=genbank&log$=nucltop&blast_rank=57&RID=8HKD5Z2Z013"",""KY476664.1"")"
"Uncultured archaeon clone TF07538 nitrogenase iron protein (nifH) gene, partial cds",uncultured archaeon,122,122,0%,3e-23,74.74,329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY829683.1?report=genbank&log$=nucltop&blast_rank=58&RID=8HKD5Z2Z013"",""AY829683.1"")"
Uncultured archaeon clone gwa2_scaffold_838 genomic sequence,uncultured archaeon,113,113,0%,2e-20,66.13,62529,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP308573.1?report=genbank&log$=nucltop&blast_rank=59&RID=8HKD5Z2Z013"",""KP308573.1"")"
"Uncultured archaeon clone S3-3 NifH (nifH) gene, partial cds",uncultured archaeon,112,112,0%,5e-20,75.47,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099639.1?report=genbank&log$=nucltop&blast_rank=60&RID=8HKD5Z2Z013"",""EU099639.1"")"
"Uncultured archaeon clone 12nifHD11 NifH (nifH) gene, partial cds",uncultured archaeon,111,111,0%,5e-20,74.27,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT223556.1?report=genbank&log$=nucltop&blast_rank=61&RID=8HKD5Z2Z013"",""KT223556.1"")"
Uncultured archaeon clone RBG_16_scaffold_38 genomic sequence,uncultured archaeon,106,106,0%,2e-18,63.22,323296,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP308663.1?report=genbank&log$=nucltop&blast_rank=62&RID=8HKD5Z2Z013"",""KP308663.1"")"
"Uncultured archaeon clone G2-1 NifH (nifH) gene, partial cds",uncultured archaeon,104,104,0%,8e-18,75.16,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099651.1?report=genbank&log$=nucltop&blast_rank=63&RID=8HKD5Z2Z013"",""EU099651.1"")"
"Uncultured archaeon clone G13-2 NifH (nifH) gene, partial cds",uncultured archaeon,104,104,0%,8e-18,75.16,334,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099650.1?report=genbank&log$=nucltop&blast_rank=64&RID=8HKD5Z2Z013"",""EU099650.1"")"
"Uncultured archaeon clone G13-1 NifH (nifH) gene, partial cds",uncultured archaeon,104,104,0%,8e-18,75.16,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099649.1?report=genbank&log$=nucltop&blast_rank=65&RID=8HKD5Z2Z013"",""EU099649.1"")"
"Uncultured archaeon clone S3-2 NifH (nifH) gene, partial cds",uncultured archaeon,104,104,0%,8e-18,75.16,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099638.1?report=genbank&log$=nucltop&blast_rank=66&RID=8HKD5Z2Z013"",""EU099638.1"")"
"Uncultured archaeon clone C29-3 NifH (nifH) gene, partial cds",uncultured archaeon,103,103,0%,3e-17,74.21,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099636.1?report=genbank&log$=nucltop&blast_rank=67&RID=8HKD5Z2Z013"",""EU099636.1"")"
"Uncultured archaeon clone G1-3 NifH (nifH) gene, partial cds",uncultured archaeon,102,102,0%,3e-17,75.00,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099648.1?report=genbank&log$=nucltop&blast_rank=68&RID=8HKD5Z2Z013"",""EU099648.1"")"
"Uncultured archaeon clone S13-3 NifH (nifH) gene, partial cds",uncultured archaeon,102,102,0%,3e-17,75.00,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099645.1?report=genbank&log$=nucltop&blast_rank=69&RID=8HKD5Z2Z013"",""EU099645.1"")"
"Uncultured archaeon clone S3-1 NifH (nifH) gene, partial cds",uncultured archaeon,102,102,0%,3e-17,75.00,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099637.1?report=genbank&log$=nucltop&blast_rank=70&RID=8HKD5Z2Z013"",""EU099637.1"")"
"Uncultured archaeon clone S13-1 NifH (nifH) gene, partial cds",uncultured archaeon,100,100,0%,1e-16,75.32,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099643.1?report=genbank&log$=nucltop&blast_rank=71&RID=8HKD5Z2Z013"",""EU099643.1"")"
"Uncultured archaeon clone C26-3 NifH (nifH) gene, partial cds",uncultured archaeon,100,100,0%,1e-16,74.84,334,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099631.1?report=genbank&log$=nucltop&blast_rank=72&RID=8HKD5Z2Z013"",""EU099631.1"")"
"Uncultured archaeon clone C26-1 NifH-like (nifH) gene, partial sequence",uncultured archaeon,100,100,0%,1e-16,74.84,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099629.1?report=genbank&log$=nucltop&blast_rank=73&RID=8HKD5Z2Z013"",""EU099629.1"")"
uncultured archaeon fos0625e3,uncultured archaeon,100,100,0%,1e-16,87.50,39450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CR937011.1?report=genbank&log$=nucltop&blast_rank=74&RID=8HKD5Z2Z013"",""CR937011.1"")"
"Uncultured archaeon clone S10-2 NifH (nifH) gene, partial cds",uncultured archaeon,98.7,98.7,0%,3e-16,73.58,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099641.1?report=genbank&log$=nucltop&blast_rank=75&RID=8HKD5Z2Z013"",""EU099641.1"")"
"Uncultured archaeon clone S10-1 NifH (nifH) gene, partial cds",uncultured archaeon,98.7,98.7,0%,3e-16,73.58,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099640.1?report=genbank&log$=nucltop&blast_rank=76&RID=8HKD5Z2Z013"",""EU099640.1"")"
"Uncultured archaeon clone C27-1 NifH (nifH) gene, partial cds",uncultured archaeon,98.7,98.7,0%,3e-16,73.58,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099632.1?report=genbank&log$=nucltop&blast_rank=77&RID=8HKD5Z2Z013"",""EU099632.1"")"
"Uncultured archaeon clone G1-1 NifH (nifH) gene, partial cds",uncultured archaeon,97.8,97.8,0%,1e-15,74.38,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099646.1?report=genbank&log$=nucltop&blast_rank=78&RID=8HKD5Z2Z013"",""EU099646.1"")"
"Uncultured archaeon clone C26-2 NifH (nifH) gene, partial cds",uncultured archaeon,97.8,97.8,0%,1e-15,74.38,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099630.1?report=genbank&log$=nucltop&blast_rank=79&RID=8HKD5Z2Z013"",""EU099630.1"")"
"Uncultured archaeon clone 40H-0N-1 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,96.9,96.9,0%,1e-15,65.55,389,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713965.1?report=genbank&log$=nucltop&blast_rank=80&RID=8HKD5Z2Z013"",""EU713965.1"")"
"Uncultured archaeon clone S10-3 NifH (nifH) gene, partial cds",uncultured archaeon,94.2,94.2,0%,1e-14,72.96,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099642.1?report=genbank&log$=nucltop&blast_rank=81&RID=8HKD5Z2Z013"",""EU099642.1"")"
Uncultured archaeon clone RBG_13_scaffold_353 genomic sequence,uncultured archaeon,92.4,92.4,0%,5e-14,67.38,37311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP308645.1?report=genbank&log$=nucltop&blast_rank=82&RID=8HKD5Z2Z013"",""KP308645.1"")"
Uncultured archaeon clone RBG_13_1401_cur,uncultured archaeon,91.5,91.5,0%,5e-14,70.44,68459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK005758.1?report=genbank&log$=nucltop&blast_rank=83&RID=8HKD5Z2Z013"",""MK005758.1"")"
"Uncultured archaeon clone G1-2 NifH (nifH) gene, partial cds",uncultured archaeon,91.5,91.5,0%,5e-14,74.03,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099647.1?report=genbank&log$=nucltop&blast_rank=84&RID=8HKD5Z2Z013"",""EU099647.1"")"
"Uncultured archaeon clone C29-2 NifH-like (nifH) gene, partial sequence",uncultured archaeon,88.7,88.7,0%,6e-13,73.12,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099635.1?report=genbank&log$=nucltop&blast_rank=85&RID=8HKD5Z2Z013"",""EU099635.1"")"
