## Fri Apr 22 10:59:18 2022
## emapper-2.1.7
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_6l_ond4p --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_6l_ond4p --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_6l_ond4p/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
VVB97674.1	523850.TON_1859	1.07e-39	138.0	COG1819@1|root,arCOG01393@2157|Archaea	2157|Archaea	CG	Glycosyltransferase 28 domain	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_tran_28_C,Glyco_trans_1_3,Glycos_transf_2
VVB90563.1	1487923.DP73_01740	9.05e-50	171.0	COG2864@1|root,COG2864@2|Bacteria,1V1XF@1239|Firmicutes,24GTD@186801|Clostridia,263XV@186807|Peptococcaceae	186801|Clostridia	C	PFAM Cytochrome b(N-terminal) b6 petB	-	-	-	-	-	-	-	-	-	-	-	-	Ni_hydr_CYTB
VVB96056.1	304371.MCP_1327	1.03e-203	590.0	COG4962@1|root,arCOG01817@2157|Archaea,2XT4E@28890|Euryarchaeota,2N969@224756|Methanomicrobia	224756|Methanomicrobia	N	PFAM type II secretion system protein E	-	-	-	ko:K07332	-	-	-	-	ko00000,ko02035,ko02044	-	-	-	T2SSE
CAH04776.1	351160.RCIX258	1.46e-265	725.0	arCOG03320@1|root,arCOG03320@2157|Archaea,2XTF6@28890|Euryarchaeota,2NA0Q@224756|Methanomicrobia	224756|Methanomicrobia	M	to orf2, orf11, orf12, orf13, orf14, orf15 of fosmid clone 4B7mr3	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_6
CAH04777.1	351160.RCIX259	1.02e-263	721.0	arCOG03320@1|root,arCOG03320@2157|Archaea,2XTF6@28890|Euryarchaeota,2NA0Q@224756|Methanomicrobia	224756|Methanomicrobia	M	to orf2, orf11, orf12, orf13, orf14, orf15 of fosmid clone 4B7mr3	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_6
CAH04778.1	351160.RCIX261	3.28e-263	718.0	arCOG03320@1|root,arCOG03320@2157|Archaea,2XTF6@28890|Euryarchaeota,2NA0Q@224756|Methanomicrobia	224756|Methanomicrobia	M	to orf2, orf11, orf12, orf13, orf14, orf15 of fosmid clone 4B7mr3	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_6
CAH04779.1	351160.RCIX262	5.3e-267	729.0	arCOG03320@1|root,arCOG03320@2157|Archaea,2XTF6@28890|Euryarchaeota,2NA0Q@224756|Methanomicrobia	224756|Methanomicrobia	M	to orf2, orf11, orf12, orf13, orf14, orf15 of fosmid clone 4B7mr3	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_6
CAH04780.1	351160.RCIX264	1.3e-238	654.0	arCOG03320@1|root,arCOG03320@2157|Archaea,2XTF6@28890|Euryarchaeota,2NA0Q@224756|Methanomicrobia	224756|Methanomicrobia	M	to orf2, orf11, orf12, orf13, orf14, orf15 of fosmid clone 4B7mr3	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_6
AKA49432.1	273116.14325067	1.15e-162	461.0	COG1013@1|root,arCOG01601@2157|Archaea,2XT3E@28890|Euryarchaeota,2426J@183967|Thermoplasmata	183967|Thermoplasmata	C	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	-	-	1.2.7.1,1.2.7.7	ko:K00170,ko:K00187	ko00010,ko00020,ko00280,ko00620,ko00633,ko00640,ko00650,ko00680,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00280,map00620,map00633,map00640,map00650,map00680,map00720,map01100,map01120,map01130,map01200	M00173,M00307,M00374,M00620	R01196,R01199,R07160,R08034,R08566,R08567	RC00004,RC00250,RC02742,RC02833,RC02856	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	TPP_enzyme_C
AKA49433.1	273116.14325066	1.05e-194	550.0	COG0674@1|root,arCOG01608@2157|Archaea,2XTB0@28890|Euryarchaeota,241YG@183967|Thermoplasmata	183967|Thermoplasmata	C	Pyruvate:ferredoxin oxidoreductase core domain II	-	-	1.2.7.1,1.2.7.7	ko:K00169,ko:K00186	ko00010,ko00020,ko00280,ko00620,ko00633,ko00640,ko00650,ko00680,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00280,map00620,map00633,map00640,map00650,map00680,map00720,map01100,map01120,map01130,map01200	M00173,M00307,M00374,M00620	R01196,R01199,R07160,R08034,R08566,R08567	RC00004,RC00250,RC02742,RC02833,RC02856	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	PFOR_II,POR_N
AKA49434.1	273075.Ta0627	2.53e-22	90.1	COG1144@1|root,arCOG01605@2157|Archaea,2Y02N@28890|Euryarchaeota	28890|Euryarchaeota	C	TIGRFAM pyruvate ferredoxin flavodoxin oxidoreductase, delta subunit	porD	-	1.2.7.1,1.2.7.7	ko:K00171,ko:K00188	ko00010,ko00020,ko00280,ko00620,ko00633,ko00640,ko00650,ko00680,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00280,map00620,map00633,map00640,map00650,map00680,map00720,map01100,map01120,map01130,map01200	M00173,M00307,M00374,M00620	R01196,R01199,R07160,R08034,R08566,R08567	RC00004,RC00250,RC02742,RC02833,RC02856	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Fer4
AKA49435.1	273116.14325064	2.18e-75	231.0	COG1014@1|root,arCOG01603@2157|Archaea,2XYDT@28890|Euryarchaeota,242E6@183967|Thermoplasmata	183967|Thermoplasmata	C	Pyruvate ferredoxin/flavodoxin oxidoreductase	-	-	1.2.7.1	ko:K00172	ko00010,ko00020,ko00620,ko00633,ko00640,ko00650,ko00680,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00633,map00640,map00650,map00680,map00720,map01100,map01120,map01130,map01200	M00173,M00307,M00374,M00620	R01196,R01199,R08034	RC00004,RC00250,RC02742,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	POR
VVB91060.1	1297617.JPJD01000014_gene871	5.36e-10	67.4	COG1216@1|root,COG1216@2|Bacteria,1VATJ@1239|Firmicutes,24H9J@186801|Clostridia,268VP@186813|unclassified Clostridiales	186801|Clostridia	S	Glycosyltransferase like family 2	-	-	-	-	-	-	-	-	-	-	-	-	Glycos_transf_2
VVB55863.1	565033.GACE_1850	2.67e-31	122.0	COG0681@1|root,arCOG01740@2157|Archaea,2XY8G@28890|Euryarchaeota,246AH@183980|Archaeoglobi	183980|Archaeoglobi	U	PFAM Peptidase S24 S26A S26B, conserved region	-	-	3.4.21.89	ko:K13280	ko03060,map03060	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_S24
VVB55881.1	1216932.CM240_0127	4.36e-09	61.6	COG0681@1|root,COG0681@2|Bacteria,1V2YD@1239|Firmicutes,25CNY@186801|Clostridia,36WYI@31979|Clostridiaceae	186801|Clostridia	U	Peptidase S24-like	-	-	3.4.21.89	ko:K13280	ko03060,map03060	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_S24
VVB51377.1	1094980.Mpsy_1767	7.85e-84	252.0	COG1014@1|root,arCOG01603@2157|Archaea,2XVFR@28890|Euryarchaeota,2N9J1@224756|Methanomicrobia	224756|Methanomicrobia	C	TIGRFAM pyruvate ketoisovalerate oxidoreductase, gamma subunit	porC-1	-	1.2.7.1	ko:K00172	ko00010,ko00020,ko00620,ko00633,ko00640,ko00650,ko00680,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00633,map00640,map00650,map00680,map00720,map01100,map01120,map01130,map01200	M00173,M00307,M00374,M00620	R01196,R01199,R08034	RC00004,RC00250,RC02742,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	POR
VVB51378.1	368407.Memar_0708	2e-16	74.3	COG1144@1|root,arCOG01605@2157|Archaea,2Y02N@28890|Euryarchaeota,2N9YE@224756|Methanomicrobia	224756|Methanomicrobia	C	TIGRFAM pyruvate ferredoxin flavodoxin oxidoreductase, delta subunit	porD-1	-	1.2.7.1	ko:K00171	ko00010,ko00020,ko00620,ko00633,ko00640,ko00650,ko00680,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00633,map00640,map00650,map00680,map00720,map01100,map01120,map01130,map01200	M00173,M00307,M00374,M00620	R01196,R01199,R08034	RC00004,RC00250,RC02742,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Fer4
VVB51379.1	192952.MM_1340	1.74e-204	575.0	COG0674@1|root,arCOG01608@2157|Archaea,2XTB0@28890|Euryarchaeota,2N98Z@224756|Methanomicrobia	224756|Methanomicrobia	C	PFAM pyruvate flavodoxin ferredoxin oxidoreductase domain protein	porA-1	-	1.2.7.1	ko:K00169	ko00010,ko00020,ko00620,ko00633,ko00640,ko00650,ko00680,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00633,map00640,map00650,map00680,map00720,map01100,map01120,map01130,map01200	M00173,M00307,M00374,M00620	R01196,R01199,R08034	RC00004,RC00250,RC02742,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	PFOR_II,POR_N
VVB51380.1	192952.MM_1339	5.98e-157	446.0	COG1013@1|root,arCOG01601@2157|Archaea,2XT3E@28890|Euryarchaeota,2N989@224756|Methanomicrobia	224756|Methanomicrobia	C	thiamine pyrophosphate enzyme domain protein TPP-binding	porB-1	-	1.2.7.1	ko:K00170	ko00010,ko00020,ko00620,ko00633,ko00640,ko00650,ko00680,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00633,map00640,map00650,map00680,map00720,map01100,map01120,map01130,map01200	M00173,M00307,M00374,M00620	R01196,R01199,R08034	RC00004,RC00250,RC02742,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	TPP_enzyme_C
AEV59713.1	368407.Memar_0617	2.51e-282	775.0	COG4054@1|root,arCOG04860@2157|Archaea,2XTPD@28890|Euryarchaeota,2N9BX@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase, beta subunit	mcrB	-	2.8.4.1	ko:K00401	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_beta,MCR_beta_N
AEV59714.1	368407.Memar_0616	4.4e-67	206.0	COG4055@1|root,arCOG04859@2157|Archaea,2Y040@28890|Euryarchaeota,2N9XP@224756|Methanomicrobia	28890|Euryarchaeota	H	PFAM Methyl-coenzyme M reductase, protein D	-	-	-	ko:K03422	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_D
AEV59716.1	368407.Memar_0614	1.81e-175	489.0	COG4057@1|root,arCOG04858@2157|Archaea,2XSVR@28890|Euryarchaeota,2N92T@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase gamma subunit	mcrG	-	2.8.4.1	ko:K00402	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_gamma
AEV59717.1	368407.Memar_0613	0.0	1043.0	COG4058@1|root,arCOG04857@2157|Archaea,2XTF8@28890|Euryarchaeota,2N90K@224756|Methanomicrobia	224756|Methanomicrobia	H	Reduction of methyl-coenzyme M (2-(methylthio) ethanesulfonic acid) with 7-mercaptoheptanoylthreonine phosphate to methane and a heterodisulfide	mcrA	-	2.8.4.1	ko:K00399	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_alpha,MCR_alpha_N
VVB94975.1	387631.Asulf_00033	6.15e-85	266.0	COG0438@1|root,arCOG01407@2157|Archaea	2157|Archaea	M	COG0438 Glycosyltransferase	gth2	-	-	-	-	-	-	-	-	-	-	-	Glyco_trans_1_4,Glyco_transf_4,Glycos_transf_1
VVB94977.1	1283300.ATXB01000001_gene1518	3.33e-18	87.4	COG0297@1|root,COG0297@2|Bacteria	2|Bacteria	G	glycogen (starch) synthase activity	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_trans_1_4,Glyco_trans_4_4,Glyco_transf_4,Glycos_transf_1
VVB94979.1	706587.Desti_1026	5.11e-138	412.0	COG1032@1|root,COG1032@2|Bacteria,1MWR0@1224|Proteobacteria,42PFW@68525|delta/epsilon subdivisions,2WJ1N@28221|Deltaproteobacteria	28221|Deltaproteobacteria	C	SMART Elongator protein 3 MiaB NifB	-	-	-	-	-	-	-	-	-	-	-	-	B12-binding,Radical_SAM
VVB94981.1	999411.HMPREF1092_02656	3.61e-23	105.0	COG1215@1|root,COG1215@2|Bacteria,1V0TF@1239|Firmicutes,24N29@186801|Clostridia	186801|Clostridia	M	PFAM Glycosyl transferase family 2	-	-	-	-	-	-	-	-	-	-	-	-	Glycos_transf_2
VVB86947.1	693661.Arcve_1845	5.8e-29	115.0	COG0681@1|root,arCOG05454@1|root,arCOG01740@2157|Archaea,arCOG05454@2157|Archaea,2XY8G@28890|Euryarchaeota,246AH@183980|Archaeoglobi	183980|Archaeoglobi	U	PFAM Peptidase S24 S26A S26B, conserved region	-	-	3.4.21.89	ko:K13280	ko03060,map03060	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_S24
VVB61346.1	246969.TAM4_1107	5.06e-50	167.0	COG1014@1|root,arCOG01603@2157|Archaea,2XVFR@28890|Euryarchaeota,243DZ@183968|Thermococci	183968|Thermococci	C	pyruvate synthase activity	porG	-	1.2.7.1,1.2.7.7	ko:K00172,ko:K00189	ko00010,ko00020,ko00280,ko00620,ko00633,ko00640,ko00650,ko00680,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00280,map00620,map00633,map00640,map00650,map00680,map00720,map01100,map01120,map01130,map01200	M00173,M00307,M00374,M00620	R01196,R01199,R07160,R08034,R08566,R08567	RC00004,RC00250,RC02742,RC02833,RC02856	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	POR
VVB61348.1	368408.Tpen_0572	5.39e-27	101.0	COG1144@1|root,arCOG01605@2157|Archaea,2XR7D@28889|Crenarchaeota	28889|Crenarchaeota	C	oxidoreductase, delta subunit	-	-	1.2.7.1	ko:K00171	ko00010,ko00020,ko00620,ko00633,ko00640,ko00650,ko00680,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00633,map00640,map00650,map00680,map00720,map01100,map01120,map01130,map01200	M00173,M00307,M00374,M00620	R01196,R01199,R08034	RC00004,RC00250,RC02742,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Fer4
VVB61350.1	565033.GACE_2154	3.88e-117	352.0	COG0674@1|root,arCOG01608@2157|Archaea,2XTB0@28890|Euryarchaeota,246W4@183980|Archaeoglobi	183980|Archaeoglobi	C	Pyruvate:ferredoxin oxidoreductase core domain II	-	-	-	-	-	-	-	-	-	-	-	-	PFOR_II,POR_N
VVB61352.1	521011.Mpal_2716	3.97e-103	310.0	COG1013@1|root,arCOG01601@2157|Archaea,2XT3E@28890|Euryarchaeota,2NA8Q@224756|Methanomicrobia	224756|Methanomicrobia	C	PFAM thiamine pyrophosphate enzyme	porB-2	-	1.2.7.1	ko:K00170	ko00010,ko00020,ko00620,ko00633,ko00640,ko00650,ko00680,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00633,map00640,map00650,map00680,map00720,map01100,map01120,map01130,map01200	M00173,M00307,M00374,M00620	R01196,R01199,R08034	RC00004,RC00250,RC02742,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	TPP_enzyme_C
VVB89704.1	565033.GACE_0493	2.77e-83	258.0	COG0463@1|root,arCOG00895@2157|Archaea,2Y7SU@28890|Euryarchaeota	28890|Euryarchaeota	M	PFAM Glycosyl transferase family 2	-	-	-	-	-	-	-	-	-	-	-	-	Glycos_transf_2
VVB89707.1	565033.GACE_0494	8.94e-128	376.0	COG0438@1|root,arCOG01403@2157|Archaea,2XUUY@28890|Euryarchaeota,24798@183980|Archaeoglobi	183980|Archaeoglobi	M	Glycosyltransferase Family 4	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_transf_4,Glycos_transf_1
VVB89716.1	272569.rrnAC1352	2.8e-08	63.5	COG0438@1|root,arCOG01403@2157|Archaea,2XUDX@28890|Euryarchaeota,23TMH@183963|Halobacteria	183963|Halobacteria	M	COG0438 Glycosyltransferase	gth1	-	-	-	-	-	-	-	-	-	-	-	Glyco_transf_4,Glycos_transf_1
VVB52276.1	192952.MM_1244	6.78e-189	538.0	COG4054@1|root,arCOG04860@2157|Archaea,2XTPD@28890|Euryarchaeota,2N9BX@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase, beta subunit	mcrB	-	2.8.4.1	ko:K00401	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_beta,MCR_beta_N
VVB52278.1	269797.Mbar_A0896	2.67e-44	151.0	COG4055@1|root,arCOG04859@2157|Archaea,2XZ5V@28890|Euryarchaeota,2NBJT@224756|Methanomicrobia	224756|Methanomicrobia	H	Methyl-coenzyme M reductase operon protein D	mcrD	-	-	ko:K03422	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_D
VVB52280.1	192952.MM_1241	1.89e-141	403.0	COG4057@1|root,arCOG04858@2157|Archaea,2XSVR@28890|Euryarchaeota,2N92T@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase gamma subunit	mcrG	-	2.8.4.1	ko:K00402	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_gamma
VVB52282.1	1094980.Mpsy_0828	4.97e-294	816.0	COG4058@1|root,arCOG04857@2157|Archaea,2XTF8@28890|Euryarchaeota,2N90K@224756|Methanomicrobia	224756|Methanomicrobia	H	Reduction of methyl-coenzyme M (2-(methylthio) ethanesulfonic acid) with 7-mercaptoheptanoylthreonine phosphate to methane and a heterodisulfide	mcrA	-	2.8.4.1	ko:K00399	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_alpha,MCR_alpha_N
VVB91515.1	1094980.Mpsy_1767	5.8e-86	257.0	COG1014@1|root,arCOG01603@2157|Archaea,2XVFR@28890|Euryarchaeota,2N9J1@224756|Methanomicrobia	224756|Methanomicrobia	C	TIGRFAM pyruvate ketoisovalerate oxidoreductase, gamma subunit	porC-1	-	1.2.7.1	ko:K00172	ko00010,ko00020,ko00620,ko00633,ko00640,ko00650,ko00680,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00633,map00640,map00650,map00680,map00720,map01100,map01120,map01130,map01200	M00173,M00307,M00374,M00620	R01196,R01199,R08034	RC00004,RC00250,RC02742,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	POR
VVB91517.1	368407.Memar_0708	1.73e-17	77.0	COG1144@1|root,arCOG01605@2157|Archaea,2Y02N@28890|Euryarchaeota,2N9YE@224756|Methanomicrobia	224756|Methanomicrobia	C	TIGRFAM pyruvate ferredoxin flavodoxin oxidoreductase, delta subunit	porD-1	-	1.2.7.1	ko:K00171	ko00010,ko00020,ko00620,ko00633,ko00640,ko00650,ko00680,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00633,map00640,map00650,map00680,map00720,map01100,map01120,map01130,map01200	M00173,M00307,M00374,M00620	R01196,R01199,R08034	RC00004,RC00250,RC02742,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Fer4
VVB91521.1	269797.Mbar_A0999	6.9e-163	461.0	COG1013@1|root,arCOG01601@2157|Archaea,2XT3E@28890|Euryarchaeota,2N989@224756|Methanomicrobia	224756|Methanomicrobia	C	thiamine pyrophosphate enzyme domain protein TPP-binding	porB-1	-	1.2.7.1	ko:K00170	ko00010,ko00020,ko00620,ko00633,ko00640,ko00650,ko00680,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00633,map00640,map00650,map00680,map00720,map01100,map01120,map01130,map01200	M00173,M00307,M00374,M00620	R01196,R01199,R08034	RC00004,RC00250,RC02742,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	TPP_enzyme_C
VVB55863.1	565033.GACE_1850	2.67e-31	122.0	COG0681@1|root,arCOG01740@2157|Archaea,2XY8G@28890|Euryarchaeota,246AH@183980|Archaeoglobi	183980|Archaeoglobi	U	PFAM Peptidase S24 S26A S26B, conserved region	-	-	3.4.21.89	ko:K13280	ko03060,map03060	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_S24
